,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
0,1,-0.9488800393283912,-0.9454479022212284,0.2748138105494943,0.2284464795276905,-1.6990010160846205,0
1,0,-0.8987666520002733,-0.8779320939823125,-0.8272420253179424,0.6217152710161966,-1.6518147454999657,0
2,0,-0.9488800393283912,-1.0129637104601827,-0.1336404502964787,0.9700390577631592,-1.6203572317768624,0
3,0,-0.8987666520002733,-0.9454479022212284,-0.6345749211453137,-0.1423498095900433,-1.5888997180537592,0
4,0,-0.8987666520002733,-0.8779320939823125,-0.8272420253179424,-0.0861685536631139,-1.5574422043306555,0
5,1,-0.9488800393283912,-0.9454479022212284,-0.6962283944805548,0.1273202188592177,-1.5259846906075525,0
6,0,-0.9488800393283912,-0.9454479022212284,0.3287605997178304,0.1835014747861472,-1.4787984200228976,0
7,0,-0.9488800393283912,-0.9454479022212284,0.0898533905437707,-0.0636960512923418,-1.4473409062997944,0
8,1,-0.8486532646721268,-0.8779320939823125,1.168789173910492,-1.367101188797105,-1.4158833925766912,0
9,1,-0.7484264900158621,-0.6753846692654879,1.7390838022614732,-1.4345186959094205,-1.3686971219920363,0
10,2,-0.7985398773440087,-0.7429004775044422,2.0550578531045844,-1.8952049945102416,-1.3215108514073812,0
11,2,-0.6983131026877156,-0.6078688610265336,-0.7116417628143651,0.3969902473084788,-1.2428670670996231,0
12,1,-0.6983131026877156,-0.6078688610265336,-1.359003232834398,1.1610553279147198,-1.164223282791865,0
13,1,-0.6983131026877156,-0.5403530527876177,1.7467904864283783,-1.2097936722017026,-1.1170370122072102,0
14,0,-0.6983131026877156,-0.5403530527876177,0.2054536530473479,0.8576765459093004,-1.038393227899452,0
15,1,-0.6983131026877156,-0.5403530527876177,-1.5747903895077422,0.6554240245723547,-1.0069357141763486,0
16,1,-0.6481997153595975,-0.5403530527876177,-0.8118286569841321,0.5430615127184959,-0.9597494435916938,0
17,2,-0.598086328031451,-0.5403530527876177,-1.613323810342268,1.5430878682178395,-0.9125631730070388,0
18,1,-0.5479729407033329,-0.4728372445486633,0.8990552280688117,-0.9288873925670554,-0.8339193886992807,0
19,2,-0.5479729407033329,-0.4728372445486633,-1.0815626028258123,0.2172102283423053,-0.7867331181146259,0
20,0,-0.598086328031451,-0.4728372445486633,-0.5035612903079261,0.4531715032354083,-0.7080893338068677,0
21,1,-0.5479729407033329,-0.4728372445486633,0.5060143355566489,-1.1311399139040017,-0.6766318200837644,0
22,0,-0.4978595533751864,-0.4053214363097474,1.870097433098861,-1.692952473173296,-0.6294455494991095,0
23,1,-0.4978595533751864,-0.4053214363097474,0.3518806522185458,-0.3895473356685332,-0.5979880357760062,0
24,0,-0.4978595533751864,-0.337805628070793,2.663885902290092,-1.962622501622557,-0.5508017651913514,0
25,0,-0.4477461660470399,-0.337805628070793,-0.0257468719598065,-0.1985310655169728,-0.5193442514682481,0
26,2,-0.4477461660470399,-0.4053214363097474,2.278551693944834,-1.8165512362125404,-0.4878867377451448,0
27,0,-0.4477461660470399,-0.4053214363097474,-0.5883348161438827,0.3857539961230936,-0.4092429534373866,0
28,0,-0.4978595533751864,-0.4053214363097474,1.369162962250026,-1.1985574210163166,-0.3777854397142834,0
29,1,-0.4477461660470399,-0.337805628070793,-1.359003232834398,0.8352040435385291,-0.3463279259911801,0
30,0,-0.4978595533751864,-0.4053214363097474,2.178364799775067,-1.7154249755440676,-0.2991416554065252,0
31,0,-0.4978595533751864,-0.4053214363097474,-0.7424684994819858,0.8464402947239144,-0.2676841416834219,0
32,0,-0.5479729407033329,-0.4728372445486633,1.1533758055766816,-0.9288873925670554,-0.2362266279603187,0
33,1,-0.598086328031451,-0.6078688610265336,0.3364672838847355,-0.6816898664885657,-0.2047691142372154,0
34,1,-0.598086328031451,-0.5403530527876177,-0.4881479219741157,0.8801490482800725,-0.1575828436525605,0
35,1,-0.5479729407033329,-0.5403530527876177,0.5060143355566489,-0.4569648427808478,-0.1103965730679056,0
36,0,-0.598086328031451,-0.6078688610265336,-0.5883348161438827,-0.1760585631462007,-0.0632103024832507,0
37,2,-0.5479729407033329,-0.5403530527876177,-1.0507358661581918,1.1161103231731764,-0.0317527887601475,0
38,0,-0.598086328031451,-0.6078688610265336,-1.2742297069984412,1.318362844510122,0.0468909955476106,0
39,0,-0.598086328031451,-0.6078688610265336,-1.1817494969955795,0.5205890103477238,0.0783485092707139,0
40,0,-0.598086328031451,-0.6078688610265336,-1.1355093919941486,1.1273465743585616,0.1098060229938171,0
41,1,-0.598086328031451,-0.6078688610265336,-1.1355093919941486,0.936330304207002,0.1412635367169204,0
42,2,-0.598086328031451,-0.5403530527876177,-1.104682655326528,0.8689127970946865,0.1884498073015753,0
43,1,-0.598086328031451,-0.6078688610265336,-0.3340142386360126,0.7565502852408276,0.2670935916093335,0
44,0,-0.598086328031451,-0.6078688610265336,-0.203000607798625,0.936330304207002,0.3142798621939884,0
45,1,-0.6481997153595975,-0.6753846692654879,2.525165587285799,-1.6817162219879098,0.3457373759170916,0
46,0,-0.598086328031451,-0.6078688610265336,-0.7501751836488909,0.6217152710161966,0.3929236465017465,0
47,2,-0.598086328031451,-0.5403530527876177,-0.6962283944805548,1.4756703611055242,0.4243811602248498,0
48,1,-0.5479729407033329,-0.5403530527876177,-0.7964152886503219,0.3745177449377075,0.5030249445326079,0
49,0,-0.5479729407033329,-0.6078688610265336,-1.019909129490571,1.5880328729593831,0.5816687288403661,0
50,2,-0.598086328031451,-0.6753846692654879,-0.1413471344633838,0.3408089913815494,0.6131262425634694,0
51,0,-0.6481997153595975,-0.6753846692654879,0.3827073888861664,-0.6367448617470223,0.6917700268712276,0
52,0,-0.6481997153595975,-0.6753846692654879,1.3537495939162156,-1.1985574210163166,0.7232275405943308,0
53,0,-0.598086328031451,-0.6078688610265336,-0.0257468719598065,-0.0075147953654124,0.754685054317434,0
54,0,-0.598086328031451,-0.6078688610265336,-0.2954808178014869,0.1835014747861472,0.7861425680405374,0
55,0,-0.598086328031451,-0.6078688610265336,-0.0180401877929014,-0.0524598001069566,0.8176000817636406,0
56,1,-0.598086328031451,-0.6753846692654879,1.1225490689090611,-1.265974928128632,0.8490575954867439,0
57,0,-0.598086328031451,-0.6078688610265336,-1.058442550325097,1.5318516170324536,0.8962438660713988,0
58,0,-0.598086328031451,-0.6078688610265336,-0.9428422878215196,1.329599095695508,0.927701379794502,0
59,1,-0.598086328031451,-0.6753846692654879,0.5907878613926056,-0.2884210750000596,0.9591588935176052,0
60,0,-0.598086328031451,-0.6753846692654879,2.417272008949127,-2.0075675063641008,1.0063451641022605,0
61,1,-0.5479729407033329,-0.6753846692654879,2.286258378111739,-1.6704799708025242,1.0378026778253635,0
62,0,-0.4978595533751864,-0.6078688610265336,0.05902665387615,-0.2434760702585162,1.0849889484100184,0
63,0,-0.4978595533751864,-0.6078688610265336,-0.9351356036546146,0.4868802567915664,1.1164464621331216,0
64,1,-0.5479729407033329,-0.7429004775044422,1.2612693839133535,-1.3558649376117191,1.1479039758562248,0
65,2,-0.598086328031451,-0.7429004775044422,-0.3802543436374436,0.3745177449377075,1.1950902464408797,0
66,0,-0.598086328031451,-0.7429004775044422,0.0898533905437707,-0.9401236437524416,1.273734030748638,0
67,0,-0.5479729407033329,-0.6753846692654879,-0.8118286569841321,2.801548000981059,1.3051915444717412,1
68,0,-0.5479729407033329,-0.6078688610265336,-0.4881479219741157,0.5318252615331098,1.383835328779499,0
69,0,-0.5479729407033329,-0.6078688610265336,-1.1278027078272437,0.4082264984938649,1.4152928425026026,0
70,0,-0.4978595533751864,-0.6078688610265336,0.5907878613926056,-0.6479811129324082,1.4467503562257058,0
71,0,-0.5479729407033329,-0.6753846692654879,0.6601480188947519,-0.9513598949378276,1.4782078699488093,0
72,0,-0.598086328031451,-0.7429004775044422,-1.0507358661581918,0.6666602757577408,1.5096653836719125,0
73,0,-0.598086328031451,-0.7429004775044422,-0.4187877644719693,0.801495289982371,1.5411228973950155,0
74,0,-0.598086328031451,-0.7429004775044422,-0.4650278694734002,0.0599027117469022,1.572580411118119,1
75,0,-0.598086328031451,-0.7429004775044422,-0.904308866986994,1.2060003326562632,-1.6990010160846205,0
76,0,-0.598086328031451,-0.7429004775044422,-0.8734821303193733,-0.3221298285562177,-1.6675435023615173,0
77,2,-0.598086328031451,-0.8104162857433581,-0.5420947111424518,1.0262203136900887,-1.636085988638414,0
78,0,-0.5479729407033329,-0.7429004775044422,-0.5035612903079261,0.7565502852408276,-1.5574422043306555,0
79,0,-0.5479729407033329,-0.7429004775044422,-0.4804412378072105,0.0037214558199728,-1.5259846906075525,0
