,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
0,1,298.1,308.6,1551,42.8,0,0,0,0,0,0,0
1,0,298.2,308.7,1408,46.3,3,0,0,0,0,0,0
2,0,298.1,308.5,1498,49.4,5,0,0,0,0,0,0
3,0,298.2,308.6,1433,39.5,7,0,0,0,0,0,0
4,0,298.2,308.7,1408,40.0,9,0,0,0,0,0,0
5,1,298.1,308.6,1425,41.9,11,0,0,0,0,0,0
6,0,298.1,308.6,1558,42.4,14,0,0,0,0,0,0
7,0,298.1,308.6,1527,40.2,16,0,0,0,0,0,0
8,1,298.3,308.7,1667,28.6,18,0,0,0,0,0,0
9,1,298.5,309.0,1741,28.0,21,0,0,0,0,0,0
10,2,298.4,308.9,1782,23.9,24,0,0,0,0,0,0
11,2,298.6,309.1,1423,44.3,29,0,0,0,0,0,0
12,1,298.6,309.1,1339,51.1,34,0,0,0,0,0,0
13,1,298.6,309.2,1742,30.0,37,0,0,0,0,0,0
15,0,298.6,309.2,1542,48.4,42,0,0,0,0,0,0
16,1,298.6,309.2,1311,46.6,44,0,0,0,0,0,0
17,1,298.7,309.2,1410,45.6,47,0,0,0,0,0,0
18,2,298.8,309.2,1306,54.5,50,0,0,0,0,0,0
19,1,298.9,309.3,1632,32.5,55,0,0,0,0,0,0
20,2,298.9,309.3,1375,42.7,58,0,0,0,0,0,0
21,0,298.8,309.3,1450,44.8,63,0,0,0,0,0,0
22,1,298.9,309.3,1581,30.7,65,0,0,0,0,0,0
23,0,299.0,309.4,1758,25.7,68,0,0,0,0,0,0
24,1,299.0,309.4,1561,37.3,70,0,0,0,0,0,0
25,0,299.0,309.5,1861,23.3,73,0,0,0,0,0,0
26,0,299.1,309.5,1512,39.0,75,0,0,0,0,0,0
27,2,299.1,309.4,1811,24.6,77,0,0,0,0,0,0
28,0,299.1,309.4,1439,44.2,82,0,0,0,0,0,0
29,0,299.0,309.4,1693,30.1,84,0,0,0,0,0,0
30,1,299.1,309.5,1339,48.2,86,0,0,0,0,0,0
31,0,299.0,309.4,1798,25.5,89,0,0,0,0,0,0
32,0,299.0,309.4,1419,48.3,91,0,0,0,0,0,0
33,0,298.9,309.3,1665,32.5,93,0,0,0,0,0,0
34,1,298.8,309.1,1559,34.7,95,0,0,0,0,0,0
35,1,298.8,309.2,1452,48.6,98,0,0,0,0,0,0
36,1,298.9,309.2,1581,36.7,101,0,0,0,0,0,0
37,0,298.8,309.1,1439,39.2,104,0,0,0,0,0,0
38,2,298.9,309.2,1379,50.7,106,0,0,0,0,0,0
39,0,298.8,309.1,1350,52.5,111,0,0,0,0,0,0
40,0,298.8,309.1,1362,45.4,113,0,0,0,0,0,0
41,0,298.8,309.1,1368,50.8,115,0,0,0,0,0,0
42,1,298.8,309.1,1368,49.1,117,0,0,0,0,0,0
43,2,298.8,309.2,1372,48.5,120,0,0,0,0,0,0
44,1,298.8,309.1,1472,47.5,125,0,0,0,0,0,0
45,0,298.8,309.1,1489,49.1,128,0,0,0,0,0,0
46,1,298.7,309.0,1843,25.8,130,0,0,0,0,0,0
47,0,298.8,309.1,1418,46.3,133,0,0,0,0,0,0
48,2,298.8,309.2,1425,53.9,135,0,0,0,0,0,0
49,1,298.9,309.2,1412,44.1,140,0,0,0,0,0,0
51,0,298.9,309.1,1383,54.9,145,0,0,0,0,0,0
52,2,298.8,309.0,1497,43.8,147,0,0,0,0,0,0
53,0,298.7,309.0,1565,35.1,152,0,0,0,0,0,0
54,0,298.7,309.0,1691,30.1,154,0,0,0,0,0,0
55,0,298.8,309.1,1512,40.7,156,0,0,0,0,0,0
56,0,298.8,309.1,1477,42.4,158,0,0,0,0,0,0
57,0,298.8,309.1,1513,40.3,160,0,0,0,0,0,0
58,1,298.8,309.0,1661,29.5,162,0,0,0,0,0,0
59,0,298.8,309.1,1378,54.4,165,0,0,0,0,0,0
60,0,298.8,309.1,1393,52.6,167,0,0,0,0,0,0
61,1,298.8,309.0,1592,38.2,169,0,0,0,0,0,0
62,0,298.8,309.0,1829,22.9,172,0,0,0,0,0,0
63,1,298.9,309.0,1812,25.9,174,0,0,0,0,0,0
64,0,299.0,309.1,1523,38.6,177,0,0,0,0,0,0
65,0,299.0,309.1,1394,45.1,179,0,0,0,0,0,0
66,1,298.9,308.9,1679,28.7,181,0,0,0,0,0,0
67,2,298.8,308.9,1466,44.1,184,0,0,0,0,0,0
68,0,298.8,308.9,1527,32.4,189,0,0,0,0,0,0
69,0,298.9,309.0,1410,65.7,191,1,0,0,1,1,0
71,0,298.9,309.1,1452,45.5,196,0,0,0,0,0,0
72,0,298.9,309.1,1369,44.4,198,0,0,0,0,0,0
73,0,299.0,309.1,1592,35.0,200,0,0,0,0,0,0
74,0,298.9,309.0,1601,32.3,202,0,0,0,0,0,0
75,0,298.8,308.9,1379,46.7,204,0,0,0,0,0,0
76,0,298.8,308.9,1461,47.9,206,0,0,0,0,0,0
77,0,298.8,308.9,1455,41.3,208,1,1,0,0,0,0
78,0,298.8,308.9,1398,51.5,0,0,0,0,0,0,0
79,0,298.8,308.9,1402,37.9,2,0,0,0,0,0,0
80,2,298.8,308.8,1445,49.9,4,0,0,0,0,0,0
81,0,298.9,308.9,1450,47.5,9,0,0,0,0,0,0
82,0,298.9,308.9,1453,40.8,11,0,0,0,0,0,0
83,0,299.0,309.0,1469,40.1,13,0,0,0,0,0,0
84,0,298.9,308.9,1422,47.6,15,0,0,0,0,0,0
85,1,299.0,309.0,1804,26.8,17,0,0,0,0,0,0
86,2,299.0,309.0,1436,43.9,20,0,0,0,0,0,0
87,0,299.0,309.0,1544,31.8,25,0,0,0,0,0,0
88,1,299.0,309.0,1419,45.2,27,0,0,0,0,0,0
89,1,298.9,308.9,1487,39.5,30,0,0,0,0,0,0
90,0,298.9,308.9,1753,25.8,33,0,0,0,0,0,0
91,0,298.9,308.9,1830,24.9,35,0,0,0,0,0,0
92,1,298.9,308.9,1727,27.1,37,0,0,0,0,0,0
93,0,299.1,309.0,1450,43.0,40,0,0,0,0,0,0
94,0,299.0,308.9,1622,31.9,42,0,0,0,0,0,0
95,1,299.0,309.0,1351,52.2,44,0,0,0,0,0,0
96,1,299.0,309.0,1575,35.3,47,0,0,0,0,0,0
97,1,298.9,308.9,1750,29.9,50,0,0,0,0,0,0
98,0,298.9,308.8,1529,32.7,53,0,0,0,0,0,0
99,0,298.8,308.8,1523,44.4,55,0,0,0,0,0,0
100,0,298.8,308.9,1852,25.0,57,0,0,0,0,0,0
102,0,298.8,308.8,1555,40.6,61,0,0,0,0,0,0
103,1,298.8,308.8,1441,40.5,63,0,0,0,0,0,0
104,0,298.8,308.7,1450,43.4,66,0,0,0,0,0,0
105,0,298.8,308.7,1591,31.1,68,0,0,0,0,0,0
106,0,298.8,308.7,1445,48.5,70,0,0,0,0,0,0
107,1,298.8,308.8,1497,46.8,72,0,0,0,0,0,0
108,2,298.9,308.8,1621,32.7,75,0,0,0,0,0,0
109,0,298.9,308.7,1572,34.1,80,0,0,0,0,0,0
110,0,298.8,308.6,1872,22.5,82,0,0,0,0,0,0
111,2,298.7,308.6,1499,43.5,84,0,0,0,0,0,0
112,1,298.8,308.7,1498,39.5,89,0,0,0,0,0,0
113,1,298.8,308.6,1486,41.9,92,0,0,0,0,0,0
114,0,298.8,308.6,1680,29.4,95,0,0,0,0,0,0
115,0,298.8,308.6,1431,45.7,97,0,0,0,0,0,0
116,0,298.9,308.7,1564,34.1,99,0,0,0,0,0,0
117,0,298.8,308.6,1599,33.0,101,0,0,0,0,0,0
118,1,298.8,308.6,1707,28.1,103,0,0,0,0,0,0
119,0,298.7,308.5,1467,40.7,106,0,0,0,0,0,0
120,0,298.9,308.7,1433,44.7,108,0,0,0,0,0,0
121,0,298.9,308.7,1558,41.2,110,0,0,0,0,0,0
122,0,299.0,308.8,1310,50.7,112,0,0,0,0,0,0
123,0,298.9,308.7,1546,43.4,114,0,0,0,0,0,0
124,0,298.9,308.7,1727,29.4,116,0,0,0,0,0,0
125,0,298.9,308.6,1560,32.2,118,0,0,0,0,0,0
126,0,299.0,308.6,1329,60.5,120,0,0,0,0,0,0
127,0,298.9,308.6,1413,46.5,122,0,0,0,0,0,0
128,0,299.0,308.6,1587,38.6,124,0,0,0,0,0,0
129,0,298.9,308.5,1559,34.3,126,0,0,0,0,0,0
130,0,298.8,308.4,1473,41.1,128,0,0,0,0,0,0
131,0,298.8,308.4,1737,27.7,130,0,0,0,0,0,0
132,1,298.7,308.4,1441,43.2,132,0,0,0,0,0,0
133,1,298.7,308.4,1430,49.6,135,0,0,0,0,0,0
134,0,298.8,308.4,1369,53.0,138,0,0,0,0,0,0
135,1,298.8,308.5,1711,28.5,140,0,0,0,0,0,0
136,2,298.7,308.5,1420,45.7,143,0,0,0,0,0,0
137,0,298.7,308.6,1297,55.3,148,0,0,0,0,0,0
138,2,298.8,308.6,1449,49.4,150,0,0,0,0,0,0
139,0,298.8,308.6,1268,55.8,155,0,0,0,0,0,0
140,0,298.8,308.6,1511,36.1,157,0,0,0,0,0,0
141,0,298.7,308.5,1544,35.2,159,0,0,0,0,0,0
142,1,298.6,308.4,1778,28.2,161,0,0,0,0,0,0
143,2,298.6,308.4,1407,50.5,164,0,0,0,0,0,0
144,1,298.6,308.4,1391,42.4,169,0,0,0,0,0,0
145,0,298.5,308.4,1513,33.6,172,0,0,0,0,0,0
146,2,298.5,308.4,1612,36.1,174,0,0,0,0,0,0
147,0,298.4,308.4,1515,40.1,179,0,0,0,0,0,0
148,1,298.3,308.3,1379,48.0,181,0,0,0,0,0,0
149,0,298.4,308.3,1473,39.9,184,0,0,0,0,0,0
150,0,298.4,308.3,1422,42.7,186,0,0,0,0,0,0
151,1,298.4,308.2,1463,37.6,188,0,0,0,0,0,0
152,1,298.4,308.2,1584,41.0,191,0,0,0,0,0,0
153,0,298.4,308.2,1850,27.0,194,0,0,0,0,0,0
154,0,298.4,308.2,1528,36.2,196,0,0,0,0,0,0
156,1,298.4,308.1,1495,46.0,203,0,0,0,0,0,0
157,2,298.4,308.2,1478,43.5,206,0,0,0,0,0,0
158,1,298.4,308.2,1499,40.0,211,0,0,0,0,0,0
159,0,298.4,308.2,1471,47.0,214,0,0,0,0,0,0
160,0,298.4,308.2,1282,60.7,216,1,0,0,0,1,0
161,0,298.3,308.1,1412,52.3,218,1,0,0,0,1,0
162,0,298.3,308.1,1586,35.5,0,0,0,0,0,0,0
163,1,298.4,308.2,1468,43.8,2,0,0,0,0,0,0
164,1,298.5,308.3,1440,43.6,5,0,0,0,0,0,0
165,0,298.5,308.4,1733,26.0,8,0,0,0,0,0,0
166,2,298.4,308.2,1612,32.6,10,0,0,0,0,0,0
167,2,298.4,308.3,1458,42.9,15,0,0,0,0,0,0
168,0,298.4,308.3,1433,62.3,20,1,0,0,1,0,0
169,0,298.4,308.3,1318,59.1,22,0,0,0,0,0,0
170,1,298.4,308.2,1610,35.0,24,0,0,0,0,0,0
171,0,298.2,308.1,1462,50.8,27,0,0,0,0,0,0
173,1,298.2,308.0,1591,33.7,32,0,0,0,0,0,0
174,0,298.2,308.1,1306,58.3,35,0,0,0,0,0,0
175,0,298.2,308.1,1382,43.5,37,0,0,0,0,0,0
176,0,298.2,308.1,1618,34.7,39,0,0,0,0,0,0
178,0,298.2,308.2,1436,50.2,43,0,0,0,0,0,0
179,0,298.2,308.3,1304,49.8,45,0,0,0,0,0,0
180,0,298.2,308.3,1475,49.9,47,0,0,0,0,0,0
181,2,298.2,308.3,1824,24.2,49,0,0,0,0,0,0
182,1,298.1,308.2,1342,48.1,54,0,0,0,0,0,0
183,0,298.1,308.2,1485,40.7,57,0,0,0,0,0,0
184,0,298.2,308.2,1667,30.6,59,0,0,0,0,0,0
185,0,298.2,308.2,1446,38.2,61,0,0,0,0,0,0
186,0,298.1,308.3,1301,56.0,63,0,0,0,0,0,0
187,0,298.2,308.4,1379,43.1,65,0,0,0,0,0,0
188,0,298.3,308.5,1606,33.6,67,0,0,0,0,0,0
